"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"LEONWASHINGTON","Leon Washington","RB","TEN",52,186,NA,NA,NA,NA,NA,NA,NA,1,3,3,0,2,15,7.5,0,NA,0,1
"DUJUANHARRIS","DuJuan Harris","RB","GB",52,186,NA,NA,NA,NA,NA,NA,NA,4,14,3.5,0,1,5,5,0,NA,0,1
"REXBURKHEAD","Rex Burkhead","RB","CIN",52,186,NA,NA,NA,NA,NA,NA,NA,2,6,3,0,2,11,5.5,0,NA,0,1
"CHRISTINEMICHAEL","Christine Michael","RB","SEA",52,186,NA,NA,NA,NA,NA,NA,NA,2,11,5.5,0,1,6,6,0,NA,0,1
"ANTHONYSHERMAN","Anthony Sherman","RB","KC",52,186,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,11,11,0,NA,0,1
"JACQUIZZRODGERS","Jacquizz Rodgers","RB","ATL",52,186,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,13,6.5,0,NA,0,1
"JONATHANGRIMES","Jonathan Grimes","RB","HOU",52,186,NA,NA,NA,NA,NA,NA,NA,3,10,3.3,0,0,0,0,0,NA,0,1
"DONALDBROWN","Donald Brown","RB","SD",52,186,NA,NA,NA,NA,NA,NA,NA,4,10,2.5,0,1,5,5,0,NA,0,1
"ROBERTTURBIN","Robert Turbin","RB","SEA",52,186,NA,NA,NA,NA,NA,NA,NA,2,8,4,0,2,15,7.5,0,NA,0,1
"LEGARRETTEBLOUNT","LeGarrette Blount","RB","PIT",52,186,NA,NA,NA,NA,NA,NA,NA,5,17,3.4,0,0,0,0,0,NA,0,1
"MARIONGRICE","Marion Grice","RB","ARI",52,186,NA,NA,NA,NA,NA,NA,NA,3,10,3.3,0,0,0,0,0,NA,0,1
"MAURICEJONESDREW","Maurice Jones-Drew","RB","OAK",52,186,NA,NA,NA,NA,NA,NA,NA,3,10,3.3,0,0,0,0,0,NA,0,1
"SHONNGREENE","Shonn Greene","RB","TEN",52,186,NA,NA,NA,NA,NA,NA,NA,6,16,2.7,0,0,0,0,0,NA,0,1
"CHRISGIVENS","Chris Givens","WR","STL",80,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,18,6,0,NA,0,1
"STEDMANBAILEY","Stedman Bailey","WR","STL",80,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,15,0,NA,0,1
"PAULRICHARDSON","Paul Richardson","WR","SEA",80,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,14,0,NA,0,1
"BRIANTYMS","Brian Tyms","WR","NE",80,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,14,0,NA,0,1
"JARONBROWN","Jaron Brown","WR","ARI",80,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,13,0,NA,0,1
